timestamp,point_name,x,y,alias,mac,rssion.
2025-06-26T18:17:59.706686,pt_40,4.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:17:59.706686,pt_40,4.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:04.022817,pt_40,4.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:04.022817,pt_40,4.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:04.022817,pt_40,4.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:18:04.022817,pt_40,4.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:08.314922,pt_50,5.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:08.314922,pt_50,5.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:08.314922,pt_50,5.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-32
2025-06-26T18:18:08.314922,pt_50,5.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:12.633735,pt_50,5.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:12.633735,pt_50,5.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:12.633735,pt_50,5.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:18:12.633735,pt_50,5.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:16.918303,pt_50,5.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:16.918303,pt_50,5.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:16.918303,pt_50,5.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:18:16.918303,pt_50,5.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:21.250763,pt_60,6.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:21.250763,pt_60,6.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:21.250763,pt_60,6.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:18:21.250763,pt_60,6.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:25.554785,pt_60,6.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:25.554785,pt_60,6.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:25.554785,pt_60,6.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:18:25.554785,pt_60,6.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:29.826740,pt_60,6.0,0.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:29.826740,pt_60,6.0,0.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:29.826740,pt_60,6.0,0.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:18:29.826740,pt_60,6.0,0.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:34.210888,pt_01,0.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:34.210888,pt_01,0.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:18:34.210888,pt_01,0.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:18:34.210888,pt_01,0.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-32
2025-06-26T18:18:38.486521,pt_01,0.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:38.486521,pt_01,0.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-32
2025-06-26T18:18:38.486521,pt_01,0.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:18:38.486521,pt_01,0.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:18:42.762533,pt_01,0.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:18:42.762533,pt_01,0.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-32
