var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
2.1897825640756445e+19,2.2793564568105878e+19,0.0,1.375068732174418e+19,1.2049448543265077e+19,0.0,9.65858858317841e+18,1.1163117898401917e+19,0.0,0.0,0.0,46.0,0.0,1,3011083482.8527694,10929115205.990093,1.9407113639314042,2.695762413111283,no_person,ilive-empty-room-20s-65.dat
2.0040569635411546e+19,2.0775950763704476e+19,4.446372377517263e+23,2.524220825355588e+19,2.0585296108571333e+19,2.1658572850704265e+23,1.854741912902724e+19,2.0851902685968323e+19,1.4677606051150733e+24,0.0,0.0,50.0,0.9567109049983286,1,2628077144.520591,10632270779.216255,1.8660802555275335,2.4217008729364604,no_person,ilive-empty-room-20s-65.dat
2.0109740875698872e+19,3.5147190768833303e+19,1.1339958025418022e+24,1.1002055957511598e+19,1.23556973712791e+19,7.020212400081152e+23,1.6414484937767901e+19,1.849303777965339e+19,1.5083222275607094e+24,0.0,0.0,19.0,0.6576411473275636,1,2695674188.458174,10654213265.474812,1.858394878710224,2.578056031107206,no_person,ilive-empty-room-20s-65.dat
1.4418974266767671e+19,1.459108837390493e+19,0.0,2.7515754149176504e+19,2.8383191400579326e+19,0.0,6.808471967038283e+18,6.799906531701747e+18,0.0,0.0,0.0,51.0,0.0,1,2238987225.739115,10501413356.372143,2.024829278074438,3.3714495918287533,no_person,ilive-empty-room-20s-65.dat
1.6742238128353233e+19,4.017360311202365e+19,1.2124232804600807e+24,2.12598983452209e+19,1.7907206769462972e+19,7.203210168054583e+23,7.415769788155452e+18,6.745293494024613e+18,1.0409326298746782e+24,0.0,0.0,-6.0,0.9386503117232068,1,2736600742.8063674,10423501312.714756,2.005002249848167,3.268927597450812,no_person,ilive-empty-room-20s-65.dat
2.2767075566311272e+19,5.627087517604272e+19,2.3068784547364524e+24,2.13136370880017e+19,1.6876671108359535e+19,1.0944328284385856e+24,1.2592278048871426e+19,1.3386494917341125e+19,4.787391069967807e+24,0.0,0.0,6.0,0.8189748278513284,1,2982370174.341332,10820006756.979414,1.8293323455985742,2.3027544947495757,no_person,ilive-empty-room-20s-65.dat
1.9357636344724496e+19,1.7953970465575375e+19,0.0,2.241671025245149e+19,1.8871605307649896e+19,0.0,6.930089517444355e+18,7.587650246120088e+18,0.0,0.0,0.0,50.0,0.0,1,2654783385.2129006,10997794236.120916,1.9377755158626966,2.7690143791552098,no_person,ilive-empty-room-20s-65.dat
