tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
0.0,0.0,66.0,0.8559995031274578,2,692714962.0515417,10198916779.05001,-0.35564324263012803,-0.5333682012551986,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.9056800760283834,3,636841901.0179359,11995593413.161716,-0.1571788265874261,-0.6899802161589048,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,59.0,0.881907263528991,2,1388488312.2320714,14483927613.868288,0.3161775878354002,-0.9735167964135161,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9177584503972658,4,1701683647.886457,17007121254.563492,0.3094061774554262,-0.9718884155545595,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9081928075121495,2,1417041404.1985402,15162285602.852169,0.24800632758231914,-1.0483624330838535,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,60.0,0.9199290921701032,1,819305657.3138593,12696104000.024326,0.45341809320130577,-1.161564150171528,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.941075182467675,3,671228798.6040356,9938794383.96605,0.2743863503330048,-0.9723224629471088,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8612668835810957,2,1244359615.6901066,13164929457.797997,0.15561316786595536,-1.29706246898304,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,66.0,0.0,1,6781353179.911425,14680005316.404842,0.08165962773057771,-1.4322116769624185,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,68.0,0.8743664882831641,2,869997545.0151137,9168997352.44367,0.1849821241330663,-1.2936297105786165,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.9160502165265051,3,1156779080.2520154,12841189913.43716,0.12348976808876362,-1.473951532845976,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9379156883261239,3,1463115711.2677095,16229592197.532864,0.15569910499522902,-1.4221638789865663,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,59.0,0.8669227774714692,4,605455152.2080498,14009858665.527267,-0.05897395265272146,-1.0390830572620928,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.9149651825214262,2,1437644674.9765725,15280886058.610785,0.18561929508257957,-1.242706372826275,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9191422079392595,2,1616209031.8700933,20921781933.480194,0.18765386486222382,-1.2957982398258097,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9589829183799236,4,247686217.1913266,3312345370.4175167,0.052533822115796894,-1.242745582997712,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9096361177958879,1,1664885647.9406934,15695648740.175829,0.11195931391927902,-1.265313913298592,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9872876549792727,4,208819780.90367088,2795046126.578965,0.5385068252466146,-0.8165590713038426,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.8560794611626247,2,1183846724.9378297,16480686539.028343,0.09916269721808078,-1.3380980188498004,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9611006222612376,2,1687155598.742561,18090918514.52166,0.17084866620191083,-1.2904599745459822,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.9605867423181044,2,1211832293.8611417,17174624839.427696,0.15677750439098512,-1.3474611499444624,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,51.0,0.9203775618595929,3,1012790551.0041925,13662286331.28356,-0.6201724342653717,-0.13599826416486316,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9470631337040557,2,1290511795.0602503,17694549884.315586,0.588829081415344,-0.6651255008026462,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,50.0,0.9756793564268693,2,686097249.1644901,13283134467.861233,0.2784132415526249,-0.6168392246968875,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,51.0,0.9214351844753488,2,1154123484.0928962,15126502062.075628,0.0798877374752125,-1.355966779570422,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.8256529201589408,2,1549425512.7816176,16058185436.721169,0.3870258384181364,-0.811699045794275,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.9367569482414713,2,1116473070.6292217,12200889909.119633,0.18032340833808008,-1.3532619587818195,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9146041410092997,3,1954554200.716991,20447580173.225914,0.3689063212936275,-0.8554231680934437,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.9124568558247295,4,1054116288.6750584,14986539435.170826,-0.08293493770143205,-0.6435217254603143,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.9221757580717593,3,940001249.8978914,14389558037.34856,-0.096600153049479,-0.7983097642518033,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9285018485531239,3,1061144352.3971694,14124956863.662155,-0.5150531137986839,0.12847149774264155,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.8471061773308991,3,923115804.3638153,13684626845.966112,0.6578253531477929,-0.5803406212201736,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.9033048564116282,6,910182123.0772425,13426414537.730007,-1.8250286243503266,2.103240863556466,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9717381045111306,2,1063093612.9220951,15804925093.234968,0.5633499332351476,-1.1097994618856684,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8724334159911749,3,1054576017.8981401,14842546331.55054,0.7559021628914427,-0.7381628299462033,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9680332139715405,3,1644829076.5309799,16574420224.434097,0.13324990661564795,-1.1388406626243146,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8956191588714474,2,1088503235.8566563,14703137299.49773,0.21756877400412677,-1.3851069149339454,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9371085769699911,3,1067534207.1516567,15110332071.007046,0.2153684202090611,-1.2902458180490304,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.9427581612050564,2,952859694.602118,13321866931.822151,0.5514015013622701,-1.004949200832669,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9031991239776628,3,1033313475.6662045,14719742347.177479,0.13108354108937836,-1.3227038091986227,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,75.0,0.9375622588756007,6,336281367.26948583,6102316412.095245,-1.1801794202918645,0.6843141464097391,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8580939155701736,1,1221280992.0613074,15441795935.873638,0.2602388406935713,-1.2330112940026643,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9650566221681799,1,1216395282.9644864,16104084022.086765,0.0850703144326896,-1.3701702603752375,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.8968184866936714,4,820388768.8554715,13033871315.896719,0.45988643125459217,-1.1398951561860573,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,51.0,0.9536506843726126,3,1464117633.8131006,16726528823.03565,0.46445898589514,-0.8049454652437045,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,65.0,0.8857332962012617,4,399197907.8076963,8416080727.371588,-0.18083065971782558,-0.7972120161982978,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.8943233701475548,3,1677757750.1942594,17082916588.31291,0.2840558465705062,-0.9276919402195869,no_person,ilive-2-empty-room-20s-136.dat
6.111111111111111,17.284832429004496,69.0,0.0,1,8439748904.420277,15941092973.656534,0.18622721810200182,-1.3997202848669552,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9650451606171143,3,1159317697.7184496,11606637101.823444,-0.03313303441963687,-1.0198292033794714,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9521771622599765,3,1174616953.1834438,17525192481.06001,0.5163772707563232,-1.0377732084589348,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.9190421395959226,3,1102754647.835646,12176647322.64558,0.14990130035925897,-1.3233376285339284,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.8857972496158999,3,1240791492.6723022,16713091192.656391,0.20539695615398607,-1.3876744919714692,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.9218938387516635,5,512039513.1860875,7176358023.952936,0.43819925603738175,-0.8437405620056175,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.93033849056261,5,938483097.8121185,15975006321.575907,-0.10921296327149953,-0.7251216664863054,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,61.0,0.8648662756123852,4,1068122456.5325882,12996537175.885345,0.3794812726898175,-0.9619875673490563,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,50.0,0.9742138065942179,6,834710274.8038675,15375821072.560377,-1.1585358678933182,1.4748832549632382,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.9140240482515453,2,1495776160.5660274,17630845173.578583,0.6588774350039229,-0.7382397873906394,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,64.0,0.9240686092208675,4,704811516.0032029,8168030006.468606,0.33851630919724224,-1.1578728040304258,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.8619388359081932,2,1479994315.087922,16736569505.55253,0.35997810117500717,-1.0898556035287346,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.9252637463915042,3,915874710.93103,13178059216.248363,-0.6815072880731624,-0.15701173934770551,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.8832753492614805,4,1512677104.4278715,15967189004.320564,0.30123162371125983,-1.050525439757941,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,53.0,0.9337336533116205,3,1049169827.0947012,15629680299.150948,-0.03842522348773662,-0.8785206533722794,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,57.0,0.9022799089063576,2,803522799.2587591,11559103365.966118,0.1399212904920052,-1.4160737369106684,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9580365006001742,1,1145814904.6335435,15541466253.278479,0.29009688268282025,-1.0466634623775866,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.9200366972470104,9,592887071.2488735,15100002950.33886,-0.3615553847138085,-0.673878235120156,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8871437120817379,3,846619464.3729156,13535639996.147432,-0.2150275584438351,-0.5217237871401466,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.9004929240856095,3,886870654.7851892,13170931043.323277,0.389918983464671,-1.1497973951760756,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,56.0,0.867237724048102,1,1065498692.4817717,14742992011.727009,0.26219868042847916,-1.2460777576302071,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9813390417448442,5,861696987.1736176,15152981957.845547,-0.17619525029793898,-0.38933834121387667,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8661781096767965,2,964501521.8675027,12285971186.75882,0.42718203849421,-0.9361342456019406,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,54.0,0.9904126319319174,3,372193037.2398049,3398363657.301252,0.14782274046908572,-1.3050467117765896,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,62.0,0.8802840820386848,2,638463118.2058016,8970190995.877413,0.7000353376719421,-0.6853154795919543,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.8843803016857592,3,1589956650.3656774,15346630932.77206,-0.04615462507220768,-1.4290687166240983,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,55.0,0.8568311156554048,2,1408379077.3381014,15486444688.96906,0.3200598442518594,-1.018423463798394,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,66.0,0.8510771468623365,1,851380870.5292704,11926832971.936235,0.17411700395734814,-1.3250949911758936,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,59.0,0.8941634977278698,4,742699900.5075101,11624651114.183504,-1.3944888413250789,1.3751473020308973,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,58.0,0.8529821733569866,1,1302844723.014754,13718869712.661354,0.2574900323654732,-1.1797891265484932,no_person,ilive-2-empty-room-20s-136.dat
0.0,0.0,52.0,0.9277948408606371,5,585970854.8272747,10949713467.376114,-0.7767658646332555,0.7819351387580955,no_person,ilive-2-empty-room-20s-136.dat
