tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
0.0,0.0,44.0,0.9364849036978309,2,1725297804.631676,5696393011.534702,-0.39374893912411907,-1.2172678735965181,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.8942495937745819,3,3405129530.9005084,10045967852.068201,-0.3508309709658598,-1.329668991951424,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,48.0,0.9300398227106281,1,4043874772.8503475,13867920310.34777,-0.41507512297290633,-1.1966281368292035,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,46.0,0.9505377764328196,1,3107548795.8163857,10114455080.261961,-0.40254104024320053,-1.203369348860914,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,47.0,0.8635995796307236,2,4051894548.0483913,12851803458.871828,-0.37932359252900466,-1.2366576996085745,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.8877778664067203,1,1632439037.348292,5210097737.456025,-0.4051370002280343,-1.1910555698498695,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,44.0,0.9308649427767036,2,1711658768.1643872,4999909294.389767,-0.2695932663690125,-1.4225622331206484,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.966503500459288,1,3030592650.6309285,9655299830.338305,-0.40929962432915445,-1.1452537775485663,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.8932696661186745,3,3968969650.0175147,11663146848.964489,-0.3239462079663501,-1.3189605832448894,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.8826153079702012,2,4287489559.4091225,14016383318.273949,-0.3593955166060728,-1.2321115769451252,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,43.0,0.9647486450293491,1,1546663235.9638314,5084183523.92189,-0.3808750226489957,-1.2207842259291055,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,44.0,0.9581084860656662,1,1744707028.327715,5608137490.778257,-0.3551818738262726,-1.2613901247225683,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,49.0,0.80991041511058,1,2044654253.911522,6810301984.15294,-0.3841560507422854,-1.2187232286471055,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,41.0,0.9671445982555662,1,1629299181.6277323,5151496010.716029,-0.3924075320580647,-1.2047414489523263,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,45.0,0.9050050707735643,2,3009371961.9420495,9956855299.49821,-0.38225958945516436,-1.2137670327479069,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,49.0,0.827220694857206,2,1729354065.66478,6639034836.526922,-0.4019116310437105,-1.1802853864312188,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,47.0,0.9278328733046252,3,4269308070.484739,13995440757.996477,-0.3969249905990549,-1.2493888764710934,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,43.0,0.9418804170183953,2,2044530255.1258652,5617367972.53123,-0.25879617145964606,-1.365867299088243,no_person,ilive-2-empty-room-20s-90.dat
0.0,0.0,48.0,0.8558370847818906,1,3435730588.382336,12501091121.266178,-0.4059619696483405,-1.1293409134666788,no_person,ilive-2-empty-room-20s-90.dat
