tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
0.0,0.0,49.0,0.8339254166588689,2,2440142815.1776786,9380086504.232822,-0.46603096350082285,-1.0981581635128148,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,48.0,0.8188137970226196,2,2153334406.5366387,8752907135.124249,-0.5764722052042183,-0.7328730102331624,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,58.0,0.8735022182656169,2,3412789450.298644,11903944860.616226,-0.4868207133955317,-1.1030462782586943,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,48.0,0.8170037610084867,1,2465726699.7592354,9127265396.07687,-0.48935752660420295,-0.9957468613145837,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,54.0,0.8451508941916254,1,2349112583.8985524,9830081257.621902,-0.5965725948171255,-0.7724941385788662,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,49.0,0.827506543476937,1,2304790285.1342134,9007259381.660864,-0.5807798531664758,-0.920695735570153,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,53.0,0.8439460977747021,1,2003978554.8616843,9052754706.506142,-0.6033454828407346,-0.840709027365707,no_person,ilive-2-empty-room-20s-114.dat
0.1111111111111111,0.31426968052735443,45.0,0.8500915945608734,3,1782975960.9622483,7634207237.009352,-0.6665307374559477,-0.5746783252934864,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,58.0,0.8838502681833681,1,3537944685.9677186,11504180565.870176,-0.464326227745733,-1.085559267261798,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,59.0,0.9234685841793017,2,2700140814.327056,11046437324.609026,-0.5758166969136242,-0.8207319134375899,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,50.0,0.8147905113448334,3,1615559026.2061462,5826614703.6701565,-0.4126334893891146,-1.2795205752319687,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,52.0,0.8408224245821746,1,2307650123.4259953,9419978133.937325,-0.5852815435693857,-0.7814491387904758,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,55.0,0.8370155332249699,1,2794930245.815872,11083164786.933273,-0.5128650884848688,-1.0096964363086152,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,51.0,0.8188167395851123,1,2609255161.449384,9611838964.152134,-0.504288015963757,-0.9942743350158971,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,53.0,0.7973739797833099,2,2603998784.96548,9096255863.836771,-0.5944090535575282,-0.8957111306822019,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,49.0,0.8275448260126352,1,2220539585.6209846,8838436954.990273,-0.49302457711401587,-0.9945107222671612,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,49.0,0.8264493563848354,1,2060583847.678379,7923600898.838198,-0.4355887064590604,-1.1524573815893757,no_person,ilive-2-empty-room-20s-114.dat
0.0,0.0,58.0,0.8839258267113044,1,3114889969.062324,12091304737.729353,-0.5364871972884365,-0.9412389395844896,no_person,ilive-2-empty-room-20s-114.dat
