var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
1.1530452016270064e+19,2.0977924256883036e+19,1.580861147297296e+23,2.3873909110572356e+19,1.938259570997657e+19,1.5092992356213986e+23,1.8482503045655884e+19,1.4591983705447651e+19,2.0027323136065005e+24,1.3222222222222222,8.097774423709513,-11.0,0.9285006706818376,2,1581525733.447752,8375800587.605791,-0.43323162280705935,-0.19090411624618753,standing,ilive-standing-pos8-tx-1min.dat
1.1231930939510557e+19,1.955011769427957e+19,1.9177311092749772e+23,2.004413365702002e+19,1.5893362680551614e+19,7.847556742769091e+22,1.2069717617528363e+19,9.031209133005237e+18,1.640352092076783e+24,4.814814814814815,15.317714356713099,8.0,0.8311053442160073,3,2333701499.9619327,9543224851.25983,-0.738863503579224,-0.05358443058971085,standing,ilive-standing-pos8-tx-1min.dat
1.024287978043001e+19,5.580284772519367e+19,1.2245954689292526e+24,2.569540046024371e+19,2.457453060105418e+19,1.0163179655993555e+24,1.5670862300019153e+19,7.116795921155951e+18,2.73334470105654e+24,0.05555555555555555,0.2290614236454256,2.0,0.9353050044608509,0,1985194501.6176088,7563411671.525936,-0.10220058291180521,-1.3536773646797593,standing,ilive-standing-pos8-tx-1min.dat
1.1142003236879745e+19,1.322997993250177e+19,0.0,2.1025059842395038e+19,1.8331397020493464e+19,0.0,1.2023992919689112e+19,1.3589434699546077e+19,0.0,3.714814814814815,13.708207968456243,42.0,0.0,3,1699690734.287709,8830947579.440052,-0.5720554991967608,0.1685290881033472,standing,ilive-standing-pos8-tx-1min.dat
8.505617931786577e+18,1.0723225555688718e+19,0.0,2.1527964712069403e+19,1.834280468007235e+19,0.0,4.731436724857139e+18,5.270084683625169e+18,0.0,6.2481481481481485,17.239744570814874,30.0,0.0,1,2363890067.35748,9929129421.499287,-0.6590897584896978,0.38390188923312607,standing,ilive-standing-pos8-tx-1min.dat
1.1247976451352443e+19,4.568081107682484e+19,7.661766446875123e+23,2.210195009440925e+19,1.8170543011270777e+19,6.202737844469276e+23,1.70704015083048e+19,1.1766281910855875e+19,3.12157589241104e+24,0.1037037037037037,0.3048757870704693,41.0,0.9785153092595759,8,815592366.2383409,8687239626.963144,-0.5358587513156817,-0.6883927834680859,standing,ilive-standing-pos8-tx-1min.dat
1.444108535293353e+19,1.8778732663894426e+19,0.0,1.793314315687005e+19,1.5145569248449987e+19,0.0,1.6032694507654545e+19,1.5710557094357135e+19,0.0,1.848148148148148,9.870790068208558,58.0,0.0,0,2210407982.4828663,8508774384.983225,-0.42792388655504404,-0.5494458271969553,standing,ilive-standing-pos8-tx-1min.dat
1.153516967844567e+19,2.634839011282149e+19,3.187172805404356e+23,2.4774196702347244e+19,2.2548520557600104e+19,6.630338866857538e+23,1.3200303022825247e+19,8.667385657160335e+18,1.212820957881007e+24,2.9703703703703703,12.171576324913556,8.0,0.946744363868659,1,2141401306.3278801,9118645370.28828,-0.6777981055382205,-0.39325460366523,standing,ilive-standing-pos8-tx-1min.dat
7.510288929811457e+18,9.639394114271515e+18,0.0,2.3004299586234855e+19,1.961196902246535e+19,0.0,6.210486422007848e+18,6.826928808666417e+18,0.0,6.277777777777778,17.22983702623496,32.0,0.0,1,2061354239.9160602,8145644308.904785,-0.8283785053197782,0.7003555791442175,standing,ilive-standing-pos8-tx-1min.dat
1.3622590339879662e+19,1.5578050919167885e+19,0.0,1.8076747583276726e+19,1.5758655616955288e+19,0.0,1.2065602330546596e+19,1.2451445839756595e+19,0.0,2.474074074074074,11.329299693717553,34.0,0.0,3,1306619530.0829089,9461362820.076118,-0.0013056461329268745,-0.5254701586836368,standing,ilive-standing-pos8-tx-1min.dat
8.231515243862641e+18,9.999716941861097e+18,0.0,2.2737078340051775e+19,1.9227305212737823e+19,0.0,1.0033145516318935e+19,9.672003538533591e+18,0.0,0.09259259259259259,0.2898606637499727,52.0,0.0,2,805937569.7403415,9202992844.966293,-0.18389518444608144,-1.2821882240375702,standing,ilive-standing-pos8-tx-1min.dat
1.0628259002506095e+19,4.794048457946514e+19,9.011044951921155e+23,1.6443459710103194e+19,1.396204090300327e+19,4.842074835106754e+23,1.4393837289687781e+19,8.741118679400352e+18,2.0521322876224838e+24,5.140740740740741,15.928387406678338,37.0,0.9946284120587627,1,1988458723.194534,7969371274.226232,-0.34943673667255987,-0.535692708303944,standing,ilive-standing-pos8-tx-1min.dat
1.3947386628880079e+19,2.8615114690840343e+19,4.632416041208873e+23,2.125522717111326e+19,1.8938771070941213e+19,6.759954533442838e+23,1.5651996503184062e+19,8.035566935596911e+18,4.015780265799255e+24,0.2962962962962963,3.3479105127074997,29.0,0.9495544060503806,7,751203244.8726135,8993386194.21614,-0.32502870985217697,-1.0603027764672397,standing,ilive-standing-pos8-tx-1min.dat
8.467808150959316e+18,1.102430943684043e+19,0.0,1.7385916611183614e+19,1.4814594248902087e+19,0.0,9.937698209862236e+18,1.0891903351056036e+19,0.0,6.281481481481482,17.228594599655736,42.0,0.0,2,2158614313.812283,8749892837.435879,-0.8466013209812289,0.7203402883291945,standing,ilive-standing-pos8-tx-1min.dat
1.0220284404527254e+19,1.8079072180619635e+19,2.141882190667193e+23,1.884030321647579e+19,1.514203919673459e+19,1.5400246057526933e+23,1.2620848718989685e+19,1.1068176239792812e+19,2.035525423218817e+24,3.762962962962963,13.696827103469326,81.0,0.8013038230527322,0,1972021147.4504714,8510010705.813143,-0.5448524458772612,-0.2008352641117357,standing,ilive-standing-pos8-tx-1min.dat
9.314241764226118e+18,1.2363221426630285e+19,0.0,2.158910255689715e+19,1.6973105579177757e+19,0.0,6.149030433206204e+18,6.427805929931418e+18,0.0,3.922222222222222,14.054835291163263,26.0,0.0,2,1849970675.9906723,9889167345.569393,-0.9670602622690838,0.915453936464572,standing,ilive-standing-pos8-tx-1min.dat
1.4263063865255625e+19,1.9782212411614765e+19,2.9157045680139318e+23,2.044762037100796e+19,1.89250083609391e+19,6.810049497122823e+23,1.634453050401252e+19,1.0338755952895295e+19,2.924033135074172e+24,0.6592592592592592,5.764081582380681,-90.0,0.9793366290873674,1,1678615227.5395951,8681908164.554462,-0.10259840148070405,-0.01473076748850044,standing,ilive-standing-pos8-tx-1min.dat
8.040010201667092e+18,2.1646217861677e+19,5.5774793727976394e+23,1.5938340277520005e+19,1.2605790338112205e+19,2.4263507432748163e+23,1.2251698414995059e+19,5.344816499554273e+18,4.710164066085981e+24,0.6888888888888889,5.763186704216193,90.0,0.9037466565782373,1,1766475021.9747357,6548875810.502984,-0.3203843024045923,-1.2018475159021567,standing,ilive-standing-pos8-tx-1min.dat
1.0175768792083325e+19,1.1957657983988093e+19,0.0,1.9004597193456734e+19,1.6561397330255677e+19,0.0,7.656335469273385e+18,8.566001883746641e+18,0.0,3.0592592592592593,12.597626444846497,50.0,0.0,4,1269493172.4483137,8663393948.033632,-0.17457390273141143,-0.2688620619563049,standing,ilive-standing-pos8-tx-1min.dat
