var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
1.4298306647898018e+19,1.3822675744921692e+19,0.0,2.222602573863984e+19,1.8250211727446624e+19,0.0,1.2918935372737886e+19,1.4333869765324196e+19,0.0,0.011111111111111112,0.10482201257840673,54.0,0.0,1,4077072966.878834,11109018602.585829,2.0818152243094987,3.4833119359656104,no_person,ilive-empty-room-20s-69.dat
1.6505460375128193e+19,1.7444234050458802e+19,2.8621829400077575e+23,1.9801210567856005e+19,1.5398303380131064e+19,1.556650080381144e+23,1.1367033872930724e+19,1.3886089459691016e+19,1.879966808943344e+24,0.0,0.0,50.0,0.990189264223175,1,2371066879.172255,10343250471.673779,1.7695707368404912,2.0339547396451456,no_person,ilive-empty-room-20s-69.dat
1.7999129322481648e+19,1.655728904504181e+19,0.0,2.387990724436495e+19,2.025100375514405e+19,0.0,7.992833640703443e+18,7.769878458790303e+18,0.0,0.0,0.0,53.0,0.0,1,4446572728.937826,11180538226.427053,1.8608758987959768,2.451635601302833,no_person,ilive-empty-room-20s-69.dat
3.601795689182395e+19,9.603129279787839e+19,4.498899148829331e+24,1.635196524974187e+19,2.0946305720555655e+19,5.44888284139709e+24,1.6834904516299817e+19,1.6667369547939901e+19,1.1246828874173726e+25,0.0,0.0,27.0,0.8982116763575924,1,3922670598.0363255,7695554400.95405,2.021232613670924,3.285722420193607,no_person,ilive-empty-room-20s-69.dat
1.8994859238847234e+19,3.898114614070088e+19,1.1619248421781777e+24,2.4164839951300067e+19,2.0093604328113988e+19,6.561256292926349e+23,1.301366219564792e+19,1.3477967691276933e+19,1.3131263920303828e+24,0.0,0.0,68.0,0.9696708642731449,1,4109958788.059404,10622206059.474386,1.8917871718537824,2.5310095782088213,no_person,ilive-empty-room-20s-69.dat
1.7182711041899207e+19,4.166725908534065e+19,1.2514865703966187e+24,1.9658998777289986e+19,1.761485767894772e+19,6.028371512601828e+23,9.114092568129747e+18,9.36572180194189e+18,1.2318962616622394e+24,0.0,0.0,52.0,0.9483695450375761,1,3171898847.534616,10144927944.129112,1.9278932682689631,2.661969326672085,no_person,ilive-empty-room-20s-69.dat
1.3447145509667176e+19,1.5190159323629631e+19,0.0,2.450272258051905e+19,2.0075962451460518e+19,0.0,9.214586730160413e+18,8.658921223030741e+18,0.0,0.003703703703703704,0.06074525728465457,54.0,0.0,1,3381156920.589702,10795934588.787912,1.9680659026922604,2.829295557714145,no_person,ilive-empty-room-20s-69.dat
