var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
1.9001058713575973e+19,1.7393623708100465e+19,0.0,2.2905487238254408e+19,1.946639363431654e+19,0.0,9.203560148951881e+18,9.543569058754157e+18,0.0,0.0,0.0,49.0,0.0,1,4960343444.417396,10761484074.50276,1.7903238116569329,2.2990127729779015,standing,ilive-standing-pos2-rx-1min.dat
1.9462810012132577e+19,3.977084777117468e+19,1.6368125924042353e+24,2.744836697329439e+19,2.3489886875775345e+19,3.798730753988716e+23,1.3092896398344088e+19,1.4140349988859304e+19,1.0603676181185905e+24,0.0,0.0,0.0,0.9966435507016657,1,3847140797.9951077,10062173174.07772,1.8436866545393122,2.487844185788405,standing,ilive-standing-pos2-rx-1min.dat
1.991603092538344e+19,1.924738030044192e+19,3.534870598431854e+23,2.4443976267641057e+19,2.052627280807643e+19,2.2367072458388942e+23,1.4939267066045016e+19,1.7809721400679678e+19,1.330830612804489e+24,0.0,0.0,65.0,0.9523862254078752,1,3659829115.4443865,10297927777.022808,1.813737318195737,2.401824496498925,standing,ilive-standing-pos2-rx-1min.dat
1.6508562834080803e+19,1.6856455321865894e+19,0.0,2.0617628580030493e+19,1.7905227017986e+19,0.0,8.078277032774802e+18,8.69105105823799e+18,0.0,0.0,0.0,47.0,0.0,1,3587984668.1616955,10038575923.607296,1.8898063449112992,2.6627654989682856,standing,ilive-standing-pos2-rx-1min.dat
1.7670854912684247e+19,2.342277339421147e+19,7.761040936147672e+23,1.916151107553988e+19,1.7704265320845767e+19,7.785351633027226e+23,1.714212192786898e+19,1.6584595044373289e+19,1.5671276431752658e+24,0.0,0.0,-2.0,0.7468187121208284,1,4920054466.407463,10257009743.660168,1.7594176485447646,2.2297407643734024,standing,ilive-standing-pos2-rx-1min.dat
1.5051642217767098e+19,1.3875566684364347e+19,0.0,1.7999102376683153e+19,1.5633686352360868e+19,0.0,1.612898728853338e+18,2.007060374376858e+18,0.0,0.0,0.0,50.0,0.0,1,4170372761.035582,9605907994.690207,1.7366930823105453,2.0984197030538825,standing,ilive-standing-pos2-rx-1min.dat
2.3226462187528802e+19,2.15130996402461e+19,0.0,2.1782817868463858e+19,1.883417636398697e+19,0.0,1.585267868872841e+19,1.6873457476257018e+19,0.0,0.0,0.0,47.0,0.0,1,4276660628.551166,10357587757.561146,1.8163796424402048,2.3893639522062786,standing,ilive-standing-pos2-rx-1min.dat
1.862025341363866e+19,1.6992382050987176e+19,0.0,2.0543624494459187e+19,1.841141636771947e+19,0.0,8.047696649630843e+18,1.0380925932832979e+19,0.0,0.0,0.0,41.0,0.0,3,2962690460.41594,10248185708.873844,1.8563614153184147,2.745580332343387,standing,ilive-standing-pos2-rx-1min.dat
2.1231357384699126e+19,2.12307575240641e+19,0.0,2.4977204301735887e+19,2.1697881806860538e+19,0.0,8.909040135216439e+18,1.1496784731920124e+19,0.0,0.0,0.0,46.0,0.0,1,4530828011.736348,12567423743.180084,1.8495433965482198,2.571663790133611,standing,ilive-standing-pos2-rx-1min.dat
2.045348419478069e+19,1.895958417345018e+19,0.0,1.9582983510061605e+19,1.6959518774581688e+19,0.0,7.178331351357456e+18,7.95970930600534e+18,0.0,0.0,0.0,53.0,0.0,1,4848332561.273056,10147317567.72374,1.7181210885395395,2.0577368108415826,standing,ilive-standing-pos2-rx-1min.dat
1.8855648116740923e+19,1.7370041035703101e+19,0.0,2.504616342727985e+19,2.1686741798671716e+19,0.0,9.842106822263239e+18,1.1943539334759664e+19,0.0,0.0,0.0,48.0,0.0,1,4352828143.384924,10225219160.049686,1.7522511438106385,2.169269535239068,standing,ilive-standing-pos2-rx-1min.dat
2.293485034472085e+19,2.1579017720268562e+19,0.0,2.483554939375046e+19,2.1722554709203087e+19,0.0,7.877173822692887e+18,8.47277762281492e+18,0.0,0.0,0.0,49.0,0.0,2,4799136979.236114,10098711343.82661,1.7367153892014757,2.157921143403958,standing,ilive-standing-pos2-rx-1min.dat
1.2698970765104755e+19,1.178523442237553e+19,3.0368376048041074e+23,2.372614006291807e+19,2.0093278015550927e+19,1.7351686063589248e+23,1.226337894625148e+19,9.603043338536184e+18,1.5989777653772035e+24,0.0,0.0,15.0,0.9932747830443569,1,3963071993.1037064,8572457318.316429,1.774691767937662,2.246498308126366,standing,ilive-standing-pos2-rx-1min.dat
2.1802056852341383e+19,2.1019769044187836e+19,0.0,1.9025846619249705e+19,1.6364237219136092e+19,0.0,1.3721254337099608e+19,1.508901068865857e+19,0.0,0.0,0.0,50.0,0.0,1,4958398761.662263,10519492302.564327,1.7606366039009078,2.2367209015042473,standing,ilive-standing-pos2-rx-1min.dat
1.2911417194666332e+19,1.1610431264252203e+19,0.0,1.6825870608038423e+19,1.4808506972849154e+19,0.0,5.022951262451649e+18,4.957449506306323e+18,0.0,0.0,0.0,52.0,0.0,1,5065301463.947611,11109399034.067474,1.8067339492564407,2.3705066542002253,standing,ilive-standing-pos2-rx-1min.dat
